Plot,Tube,Soil + Tube,Total Soil Mass,Filter/Tin,Filter/Tin + LF,LF Mass,DF Tin,Tin + DF,DF Mass,MF Tin,Tin + MF,MF Mass
1,11.1676,20.2492,9.0816,7.605,8.0399,0.4349,7.5019,12.436,4.9341,7.4256,11.2356,3.81
2,11.1002,20.1295,9.0293,7.5332,7.8838,0.3506,7.5487,12.0497,4.501,,,
3,11.1735,20.2274,9.0539,,,,,,,,,
4,10.3229,19.4316,9.1087,,,,,,,,,
5,11.1572,20.2276,9.0704,,,,,,,,,
6,11.1107,20.5525,9.4418,1.4633,2.4338,0.9705,7.3382,11.9189,4.5807,7.275,11.766,4.491
7,11.1726,20.6191,9.4465,7.3935,7.9976,0.6041,7.6025,11.821,4.2185,7.5778,12.3132,4.7354
8,11.0689,20.2999,9.231,7.4763,7.8691,0.3928,7.5019,12.1079,4.606,7.5617,12.1207,4.559
9,11.0443,20.139,9.0947,7.6528,8.2736,0.6208,7.4243,11.0246,3.6003,7.46,12.8778,5.4178
10,10.2969,19.7743,9.4774,,,,,,,,,
11,11.1658,20.518,9.3522,,,,,,,,,
12,11.1188,20.5406,9.4218,,,,,,,,,
13,11.0603,20.4016,9.3413,7.4248,9.4447,2.0199,7.4146,11.8349,4.4203,7.4258,10.487,3.0612
14,11.0684,20.5389,9.4705,1.4714,1.7701,0.2987,7.417,12.4202,5.0032,7.378,10.278,2.9
15,11.0841,20.3903,9.3062,,,,,,,,,
16,11.0632,20.3082,9.245,7.4926,7.8687,0.3761,7.4767,11.3484,3.8717,7.5839,12.6684,5.0845
17,11.0769,20.3719,9.295,7.4257,7.8853,0.4596,7.5485,10.4372,2.8887,7.5019,13.5368,6.0349
18,11.1658,20.5872,9.4214,7.4257,7.7839,0.3582,7.5485,11.8773,4.3288,7.5778,12.3036,4.7258
19,11.0702,20.5326,9.4624,,,,,,,,,
20,11.2244,20.239,9.0146,,,,,,,,,
21,11.0831,20.1987,9.1156,7.4239,8.4374,1.0135,7.513,12.6794,5.1664,7.5617,10.6235,3.0618
22,11.1779,20.5007,9.3228,7.615,9.2034,1.5884,7.4222,11.8524,4.4302,7.49,10.56,3.07
23,11.1577,20.0711,8.9134,,,,,,,,,
24,11.1474,20.5557,9.4083,7.5332,8.4452,0.912,7.5689,12.3373,4.7684,7.5237,11.2597,3.736
25,11.7413,20.5381,8.7968,,,,,,,,,
26,11.2345,20.1824,8.9479,,,,,,,,,
27,11.1786,20.1741,8.9955,,,,,,,,,
28,11.2003,20.3626,9.1623,,,,,,,,,
29,11.1934,20.4898,9.2964,,,,,,,,,
30,11.1802,20.363,9.1828,,,,,,,,,
31,11.0882,20.0277,8.9395,,,,,,,,,
32,11.0884,19.8997,8.8113,,,,,,,,,
33,11.1967,20.4777,9.281,,,,,,,,,
34,11.1213,20.3295,9.2082,7.6003,8.351,0.7507,7.4755,12.3552,4.8797,7.44,11.44,4
35,11.3385,20.4579,9.1194,7.5162,8.229,0.7128,7.5194,11.9157,4.3963,7.55,11.82,4.27
36,11.2155,20.1842,8.9687,7.4906,8.3425,0.8519,7.4462,11.0152,3.569,7.4642,12.3797,4.9155
37,11.1208,20.2085,9.0877,7.4195,8.9413,1.5218,7.5342,11.6447,4.1105,7.5237,11.38,3.8563
38,11.2123,20.1046,8.8923,7.4429,9.1015,1.6586,7.4767,12.2285,4.7518,7.5839,10.6721,3.0882
39,11.1495,20.4758,9.3263,7.4239,8.8533,1.4294,7.5342,11.301,3.7668,7.5038,12.453,4.9492
40,11.1963,20.2002,9.0039,,,,,,,,,
41,10.5154,19.4415,8.9261,7.5362,8.9746,1.4384,7.4146,12.7044,5.2898,7.4256,10.1372,2.7116
42,11.2596,20.5638,9.3042,7.5505,11.0748,3.5243,7.6025,11.5387,3.9362,7.472,9.8668,2.3948
43,11.0831,20.3955,9.3124,,,,,,,,,
44,11.1241,20.556,9.4319,7.5252,9.1863,1.6611,7.5684,13.1861,5.6177,7.472,10.0577,2.5857
45,11.1161,20.0051,8.889,8.8637,13.4644,4.6007,7.4539,10.1173,2.6634,7.55,10.61,3.06
46,11.1726,20.0088,8.8362,,,,,,,,,
47,11.1081,20.1883,9.0802,7.4259,8.6332,1.2073,7.513,11.7612,4.2482,7.4258,11.379,3.9532
48,10.379,19.6237,9.2447,7.7403,13.6869,5.9466,7.474,11.0461,3.5721,7.49,10.94,3.45
